tenure,MonthlyCharges,TotalCharges,MonthlyCharges_log,TotalCharges_Tenure_Ratio,MonthlyCharges_to_TotalCharges_Ratio,Bank transfer (automatic),Credit card (automatic),Electronic check,Mailed check,Month-to-month,One year,Two year
1,29.85,29.85,3.396184839838611,29.85,1.0,0,0,0,0,0,0,0
34,56.95,1889.5,4.042173689893192,55.5735294117647,0.0301402487430537,0,0,1,1,1,1,0
2,53.85,108.15,3.9862024036023977,54.075,0.4979195561719833,0,0,1,1,0,0,0
45,42.3,1840.75,3.744787086052232,40.90555555555556,0.0229797636832812,1,0,1,0,1,1,0
2,70.7,151.65,4.258445572902527,75.825,0.4662050774810419,0,0,0,0,0,0,0
8,99.65,820.5,4.601664046658804,102.5625,0.1214503351614869,0,0,0,0,0,0,0
22,89.1,1949.4,4.489759334476764,88.60909090909091,0.0457063711911357,0,1,1,0,0,0,0
10,29.75,301.9,3.392829131991639,30.19,0.0985425637628353,0,0,1,1,0,0,0
28,104.8,3046.05,4.6520537718869415,108.7875,0.0344052133090395,0,0,0,0,0,0,0
62,56.15,3487.95,4.0280266811844525,56.25725806451613,0.0160982812253616,1,0,1,0,1,1,0
13,49.95,587.45,3.9110225050945626,45.18846153846154,0.0850285130649416,0,0,1,1,0,0,0
16,18.95,326.8,2.9418039315284354,20.425,0.0579865361077111,0,1,1,0,1,0,1
58,100.35,5681.1,4.608664075242347,97.95,0.0176638327084543,0,1,1,0,1,1,0
49,103.7,5036.3,4.641502115235482,102.78163265306122,0.0205905128765164,1,0,1,0,0,0,0
25,105.5,2686.05,4.658710952916121,107.442,0.0392770052679585,0,0,0,0,0,0,0
